HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,data_id
41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,240.20555555555555
21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,2318.749841827768
52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,414.4122598870057
52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,476.14794520547946
52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,482.7814671814672
52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,330.73989637305704
52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,1011.7184046692607
52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,1074.3782534775887
42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,1123.6068907563024
52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,1468.7622689075629
52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,827.8536815920398
52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,1421.6390463215257
52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,1015.9361538461538
52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,262.56275862068964
52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26,1129.5448387096774
50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,615.2301515151515
52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,710.9757703927493
52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,565.7186138613862
50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,907.9427684964201
52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27,608.079090909091
40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,327.04385542168677
42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,847.1182513661203
52.0,5.096234309623431,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,932.6934309623432
52.0,5.193846153846154,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,771.1946153846154
52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,923.9538862559242
41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,37.85,-122.28,235.23386554621848
49.0,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,525.1097489539749
52.0,4.7808564231738035,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1020.3458186397984
50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774,37.84,-122.28,1048.9511205073995
52.0,4.703225806451613,1.032258064516129,395.0,2.5483870967741935,37.84,-122.28,313.1083870967742
49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,780.8430687830687
52.0,4.882086167800454,1.090702947845805,1168.0,2.6485260770975056,37.84,-122.28,1086.2085260770975
48.0,5.737313432835821,1.2208955223880598,1026.0,3.062686567164179,37.84,-122.27,944.6326865671642
49.0,5.0303951367781155,1.1124620060790273,754.0,2.291793313069909,37.83,-122.27,671.8517933130698
51.0,4.972014925373134,1.0708955223880596,1258.0,2.3470149253731343,37.83,-122.27,1175.907014925373
49.0,4.6022727272727275,1.0681818181818181,570.0,2.159090909090909,37.83,-122.27,487.71909090909094
48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803,37.83,-122.27,905.199037433155
52.0,3.7493796526054592,0.967741935483871,901.0,2.235732009925558,37.83,-122.28,818.7857320099255
52.0,4.757281553398058,1.0679611650485437,689.0,2.2297734627831716,37.83,-122.26,606.7997734627832
52.0,3.4942528735632186,1.0272988505747127,1377.0,1.978448275862069,37.83,-122.26,1294.548448275862
52.0,4.215189873417722,1.0607594936708862,946.0,2.3949367088607594,37.83,-122.26,863.9649367088607
51.0,3.7590361445783134,1.248995983935743,517.0,2.076305220883534,37.83,-122.26,434.6463052208835
49.0,3.7724867724867726,1.0687830687830688,462.0,2.4444444444444446,37.84,-122.26,380.02444444444444
52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,37.84,-122.26,384.93858585858584
52.0,4.941780821917808,1.0650684931506849,660.0,2.26027397260274,37.83,-122.26,577.8302739726026
52.0,4.335078534031414,1.0994764397905759,718.0,1.8795811518324608,37.83,-122.26,635.4495811518324
50.0,3.700657894736842,1.0592105263157894,616.0,2.026315789473684,37.83,-122.26,533.5963157894736
43.0,3.9802371541501977,1.233201581027668,558.0,2.205533596837945,37.82,-122.27,475.75553359683795
40.0,3.9,1.21875,423.0,2.64375,37.82,-122.26,341.20375
40.0,2.6875,1.0653409090909092,700.0,1.9886363636363635,37.82,-122.27,617.5386363636363
21.0,2.045662100456621,1.0342465753424657,735.0,1.678082191780822,37.82,-122.27,652.2280821917808
43.0,4.58968058968059,1.1203931203931203,1061.0,2.6068796068796067,37.82,-122.27,979.1568796068796
41.0,4.473611111111111,1.1847222222222222,1959.0,2.720833333333333,37.82,-122.27,1877.2708333333333
52.0,4.075,1.14,1162.0,2.905,37.82,-122.27,1080.455
52.0,5.021459227467811,1.0085836909871244,701.0,3.0085836909871246,37.82,-122.28,619.5485836909871
52.0,4.295454545454546,1.1045454545454545,576.0,2.618181818181818,37.82,-122.28,494.1581818181818
52.0,4.77992277992278,1.111969111969112,622.0,2.4015444015444016,37.82,-122.28,539.9415444015443
